Aholining yuqumli va parazitar kasalliklarga chalinishi / Заболеваемость населения инфекционными и паразитарными болезнями / Morbidity of the population by infectious and parasitic diseases;;;;;;;;;;;;;;;;;;;;;;;;;
kasallanishlar soni, ming / число заболеваний, тысяч / number of diseases, thousand;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ko‘rsatkichlar;Кўрсаткичлар;Показатели;Indicators;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
O‘tkir ichak infektsiyalari;Ўткир ичак инфекциялари;Острые кишечные инфекции;Acute intestinal infections;44,6;42,4;40;34,2;33,2;36,6;35,5;32,5;33,4;32,7;33,8;31,8;33,2;35,1;38,2;39;37,5;44,6;31,8;39,0;18,9;31,6
bakterial dizenteriya;бактериал дизентерия;бактериальная дизентерия;bacterial dysentery;4,9;4,8;4,8;3,9;3,5;3,8;3,4;3,1;2,9;2,6;2,9;2,7;2,3;2,2;1,9;2,1;1,6;1,7;1,4;1,5;0,3;0,7
yuqumli salmonelez ;ю?умли салмонелез ;Сальмонеллезные инфекции;Salmonella infections;1,5;1,3;1,5;1,3;1,2;1,4;1,6;1,7;1,4;1,1;1,3;0,9;0,8;0,7;0,8;0,5;0,7;0,7;0,9;1,1;0,4;0,5
Ichterlama va A, B, S paratiflar, holatlar;Ичтерлама ва A, Б, С паратифлар, ?олатлар;Брюшной тиф и паратифы А, В, С,  случаев;Typhoid fever and paratyphoid A, B, C, cases;204;219;0,1;0,1;104;120;79;55;54;51;52;49;51;76;22;16;11;5,0;9,0;2,0;1,0;-
Gripp, yuqori va quyi nafas olish yo‘llarining o‘tkir infektsiyalari;Грипп, ю?ори ва ?уйи нафас олиш йўлларининг ўткир инфекциялари;Грипп,  острые инфекции верхних и нижних дыхательных путей;Influenza, acute infections of the upper and lower respiratory tract;1035,3;858,3;802,1;769,9;679,8;594,8;560,2;547,3;513,4;515,3;332,5;312,8;340,4;381,0;372,1;368,0;436,3;410,3;437,9;510,8;432,5;525,7
Virusli gepatit ;Вирусли гепатит ;Вирусный гепатит;Viral hepatitis;57,8;40,2;33,4;29,4;37,7;30,3;29,9;34;32,2;37,5;36,4;32,6;29,5;41,7;37,9;25,8;38,1;32,1;31,0;27,3;11,5;7,9
Terlama;Терлама;Скарлатина;Scarlet fever;0,5;0,7;0,9;0,9;0,8;0,9;0,9;0,6;0,4;0,4;0,5;0,6;0,5;0,4;0,4;0,5;0,5;0,7;1,7;0,2;1,0;0,9
Ko‘kyo‘tal, holatlar;Кўкйўтал, ?олатлар;Коклюш, случаев;Pertussis cases;72;59;79;40;35;126;115;106;31;35;33;36;62;42;65;84;101;102;119;106;39;2
Qizamiq, holatlar;?изами?, ?олатлар;Корь, случаев;Measles, cases;73;21;26;85;71;737;856;863;1;-;117;457;-;-;5;5;-;-;22,0;11,3;4,3;-
Meningokokkli infektsiya, holatlar;Менингококкли инфекция, ?олатлар;Менингококковая инфекция, случаев;Meningococcal infection, cases;105;250;111;65;65;61;78;56;34;26;25;11;9;10;10;17;7;9;6;149;7;7
Brutsellyoz, holatlar;Бруцеллёз, ?олатлар;Бруцеллёз, случаев;Brucellosis, cases;503;482;410;563;485;564;468;376;410;332;454;422;362;572;702;874;844;858;778;745;418;548
